state,SHELDED,FSSLTDED,FSTOTDED,HWGT,FSUNEARN,FSSTDDE2,TANF_IND,FSUSIZE,LIQRESOR,WRK_POOR,RAWERND,FSASSET,FSEARN,CERTHHSZ,FSWAGES
Alabama,224,211,477,3826,463,169,0,2,0,0,70,0,351,2,339
Alaska,252,255,637,834,537,222,0,2,154,0,88,154,444,2,419
Arizona,194,194,471,5353,362,140,0,2,0,0,91,0,456,2,419
Arkansas,129,132,377,1807,498,162,0,2,92,0,61,115,305,2,290
California,314,330,592,29938,333,125,0,2,0,0,88,0,439,2,400
Colorado,341,340,592,3335,474,152,0,2,0,0,69,0,345,2,306
Connecticut,510,500,737,3138,581,128,0,1,0,0,56,0,282,1,277
Delaware,222,237,513,1218,494,157,0,2,0,0,88,0,446,2,423
District of Columbia,235,260,470,865,436,129,0,1,0,0,40,0,203,1,195
Florida,309,311,572,19742,499,165,0,1,0,0,78,0,391,1,344
Georgia,223,225,481,8391,461,146,0,2,0,0,62,0,310,2,287
Guam,245,80,600,429,172,257,0,3,0,0,154,0,774,3,761
Hawaii,115,120,434,1546,546,222,0,1,0,0,69,0,346,1,311
Idaho,330,227,514,842,476,171,0,2,42,0,86,63,431,2,384
Illinois,247,257,518,13933,428,139,0,1,0,0,71,0,356,1,344
Indiana,246,258,520,3627,485,170,0,2,32,0,75,32,377,2,351
Iowa,222,223,510,2131,482,163,0,2,1,0,96,1,480,2,448
Kansas,263,276,551,1307,485,174,0,2,147,0,77,152,388,2,378
Kentucky,156,163,399,3318,474,154,0,2,0,0,56,0,281,2,260
Louisiana,208,213,449,6281,430,153,0,2,82,0,51,82,259,2,242
Maine,415,416,655,1119,703,184,0,1,217,0,65,261,325,1,297
Maryland,261,259,554,5320,507,152,0,1,0,0,76,0,382,1,366
Massachusetts,473,457,719,5550,633,140,0,1,0,0,52,0,261,1,251
Michigan,358,365,639,9548,513,144,0,1,28,0,74,28,373,1,363
Minnesota,302,308,583,2545,580,166,0,1,0,0,86,0,425,1,388
Mississippi,161,162,414,2780,428,148,0,2,0,0,63,0,317,2,303
Missouri,250,259,525,4369,501,160,0,2,128,0,58,129,294,2,281
Montana,308,319,595,904,480,161,0,2,0,0,89,0,448,2,410
Nebraska,286,289,569,1040,494,163,0,2,63,0,88,64,439,2,403
Nevada,183,194,454,2964,388,141,0,1,0,0,79,0,398,1,363
New Hampshire,382,383,632,823,707,167,0,1,130,0,64,134,320,1,290
New Jersey,381,380,649,6210,595,169,0,1,0,0,80,0,408,1,395
New Mexico,199,200,457,2689,395,152,0,2,0,0,78,0,389,2,362
New York,514,505,770,20324,639,147,0,1,0,0,68,0,342,1,328
North Carolina,251,259,548,7051,437,154,0,2,0,0,97,0,485,2,462
North Dakota,335,343,646,641,496,150,0,2,0,0,75,0,375,2,351
Ohio,301,306,554,8730,564,164,0,1,0,0,68,0,342,1,313
Oklahoma,188,192,441,3068,398,150,0,2,0,0,67,0,334,2,297
Oregon,304,304,561,4860,488,145,0,1,0,0,63,0,315,1,286
Pennsylvania,415,413,672,14056,566,155,0,1,0,0,74,0,373,1,345
Rhode Island,464,452,697,1546,609,152,0,1,0,0,56,0,280,1,267
South Carolina,186,189,455,3592,471,152,0,2,0,0,63,0,320,2,305
South Dakota,347,348,623,676,445,132,0,2,253,0,72,286,365,2,347
Tennessee,158,160,391,5409,431,146,0,1,137,0,48,137,243,1,225
Texas,250,250,540,22052,435,170,0,2,0,0,94,0,470,2,385
Utah,234,244,528,1031,428,159,0,2,212,0,94,214,473,2,433
Vermont,650,648,918,717,749,145,0,1,0,0,58,0,293,1,257
Virgin Islands,60,68,341,702,271,126,0,2,0,0,79,0,402,2,353
Virginia,191,195,448,5276,524,169,0,2,161,0,58,161,291,2,270
Washington,306,304,562,7074,457,139,0,1,0,0,73,0,364,1,352
West Virginia,231,220,448,2279,529,155,0,1,0,0,54,0,271,1,250
Wisconsin,275,281,571,4038,558,165,0,2,0,0,91,0,458,2,403
Wyoming,254,254,557,497,460,165,0,2,168,0,86,187,430,2,399
